temp,baseVis,nanoVis,Ypredicted
12.87724,1.204878,1.456911,1.4340102
15,1.1375,1.20657,1.1807183
20.9335,0.973171,1.172358,1.1359114
22.77494,0.936585,1.127642,1.1069151
25,0.89008,0.97501,0.97446465
27.20588,0.847154,1.042276,0.9452692
33.70844,0.737398,0.92439,0.89922404
35,0.71932,0.797235,0.8227311
37.44885,0.688618,0.863415,0.8443665
42.68542,0.623577,0.794309,0.7411862
48.20972,0.562602,0.729268,0.696948
55,0.509756,0.647967,0.62995625
