temp,baseVis,nanoVis,Ypredicted
64.17291167,0.43847,0.476759,0.428678
59.99356647,0.466446,0.491489,0.44542283
62.18039153,0.451449,0.491489,0.4353581
57.32070076,0.485936,0.506219,0.46043208
55.42537284,0.500594,0.520949,0.4726639
51.48884914,0.533469,0.565139,0.50451076
47.40661664,0.571514,0.594599,0.544196
42.01213003,0.629051,0.653519,0.6143857
44.10176286,0.605683,0.653519,0.5826306
39.24183348,0.662393,0.712439,0.66131324
36.32590768,0.700699,0.741899,0.71907556
33.31263057,0.744228,0.800818,0.78140515
31.02837469,0.780209,0.845008,0.82957685
29.52173613,0.805528,0.874468,0.86097807
27.23732118,0.846557,0.948118,0.9094517
25.05025752,0.889071,0.992308,0.96421254
22.9116309,0.934109,1.065957,1.0245267
22.71716691,0.938399,1.080687,1.0301689
22.42551071,0.944863,1.095417,1.0386459
21.84219829,0.958037,1.124877,1.0557249
