temp,baseVis,nanoVis,Ypredicted
25.02328,0.875912,4.215328,4.2846622
30.03492,0.784672,3.841241,4.0245395
34.96508,0.711679,3.558394,3.737828
39.97672,0.64781,3.284672,3.4609363
45.0291,0.574818,2.956204,3.1195366
50,0.529197,2.764599,2.935116
