Index,d,phi,temp,baseVis,nanoVis,Ypredicted
1,30,0.3,39,0.66543,0.7,0.6939747
1,47,1,38.98422,0.665631,0.701372,0.6810501
1,47,4,61.22288,0.457916,0.701372,0.7025777
4,11,0.397674419,40,0.65298,0.704207,0.69671196
1,30,0.03,37,0.69152,0.704587,0.69025254
1,13,1.3,62,0.45265,0.704895,0.68426424
1,43,0.978261,40,0.65298,0.707257,0.68265057
4,33,0.809688581,40,0.65298,0.709615,0.64872605
1,30,0.2,38,0.67827,0.711927,0.6982141
4,29,1,39.24183348,0.662393,0.712439,0.66131324
1,30,0.1,37,0.69152,0.712844,0.69823897
1,100,2,45,0.59607,0.713285,0.6890554
1,30,0.03,36,0.70519,0.713761,0.70211047
1,36,1,39.33702,0.661197,0.714474,0.7220523
1,32,0.268852,40,0.65298,0.716364,0.66843975
1,47,4,59.27022,0.47159,0.71681,0.72146034
1,25,2,55.08427,0.503309,0.718927,0.8089519
4,33,0,35,0.71932,0.719231,0.684399
1,43,0,35,0.71932,0.719646,0.6893174
1,32,0.003279,35,0.71932,0.72,0.70323426
1,30,0.3,38,0.67827,0.720183,0.7078544
4,11,0.002093023,35,0.71932,0.720388,0.692339
2,27,2.04,46.9518,0.576024,0.720884,0.7218196
4,33,1.152249135,40,0.65298,0.723077,0.66298616
1,13,1.34,62,0.45265,0.724323,0.6895092
2,21,0.2,37.44885,0.688618,0.725203,0.71033245
1,43,0.126598,35,0.71932,0.72708,0.70010936
1,32,1.403279,50,0.54685,0.727273,0.70859605
4,33,0.157785467,35,0.71932,0.728846,0.6985964
1,30,0.5,44.90451,0.597086,0.72891,0.63473433
2,21,1,48.20972,0.562602,0.729268,0.6796948
1,36,4.5,54.14365,0.510925,0.729276,0.7868453
1,43,1.396419,40,0.65298,0.732035,0.69895774
1,30,0.2,37,0.69152,0.73211,0.7096482
1,30,0.1,36,0.70519,0.733028,0.7104104
1,30,0.03,35,0.71932,0.733945,0.71522975
1,43,2.900256,50,0.54685,0.734513,0.74052554
1,43,0.268542,35,0.71932,0.734513,0.71208245
1,25,1,45,0.59607,0.735272,0.75931984
1,30,0.3,37,0.69152,0.73945,0.720957
1,30,0.2,36,0.70519,0.741284,0.72227234
4,29,1,36.32590768,0.700699,0.741899,0.71907556
1,30,0.1,35,0.71932,0.742202,0.7235181
4,33,0.274048443,35,0.71932,0.742308,0.7090577
1,43,0.548593,35,0.71932,0.744425,0.734573
2,21,0.2,35,0.71932,0.745911,0.7365795
4,11,0.156976744,35,0.71932,0.746278,0.7190833
1,47,4,57.20907,0.486779,0.747684,0.7416064
3,12,0.45,39.93597,0.64781,0.748175,0.7354435
4,33,1.694117647,40,0.65298,0.75,0.68859816
2,27,2.031740212,32,0.76456,0.751445,0.8975803
1,32,0.55082,40,0.65298,0.752727,0.69574726
1,30,0.03,34,0.7339,0.753211,0.72890836
4,33,0.396539792,35,0.71932,0.755769,0.7201627
2,76,5.54,60,0.4664,0.759113,0.76687235
4,11,0.805813953,50,0.54685,0.759223,0.6773705
1,30,0.3,36,0.70519,0.759633,0.73413444
1,32,0.131148,35,0.71932,0.76,0.71737915
1,25,3,55.08197,0.503328,0.760101,0.8486787
1,30,0.2,35,0.71932,0.761468,0.7359713
1,30,0.1,34,0.7339,0.762385,0.737826
4,11,0.560930233,40,0.65298,0.76246,0.7472599
1,47,4,55.25641,0.501939,0.763122,0.7614898
2,27,0.99,37.03507,0.691052,0.763181,0.7265929
4,33,0.560553633,35,0.71932,0.763462,0.7307303
1,100,4,50,0.54685,0.764946,0.75185573
1,36,4.5,50.99448,0.53785,0.766283,0.8213777
4,11,0.397674419,35,0.71932,0.768932,0.761244
1,30,0.5,39.9566,0.653516,0.77062,0.6994383
1,47,1,32.96351,0.749543,0.77084,0.7608822
1,25,2,45.31535,0.592759,0.771103,0.9396312
1,30,0.03,33,0.74898,0.773394,0.74264616
1,43,0.978261,35,0.71932,0.774159,0.7565091
1,30,0.3,35,0.71932,0.777982,0.7489602
4,33,0.811764706,35,0.71932,0.778846,0.74306
1,30,0.2,34,0.7339,0.780734,0.7505801
2,21,0.6,35,0.71932,0.780853,0.7759702
1,100,2,40,0.65298,0.781387,0.7468076
1,43,1.998721,40,0.65298,0.781593,0.74172324
2,21,0.199191686,35,0.71932,0.7816,0.7365232
1,30,0.1,33,0.74898,0.782569,0.75155836
2,21,0.2,33.6509,0.737398,0.786179,0.75369817
1,47,4,53.24951,0.518344,0.786278,0.7823741
1,32,2,50,0.54685,0.789091,0.8201875
1,32,0.272131,35,0.71932,0.789091,0.73557633
4,33,1.156401384,35,0.71932,0.792308,0.75835866
2,76,2.54,40,0.65298,0.792326,0.78330636
2,76,0.24,30,0.79735,0.793124,0.7675233
1,30,0.03,32,0.76456,0.793578,0.7567055
2,21,1,42.68542,0.623577,0.794309,0.7311862
2,21,1,35,0.71932,0.797235,0.8227311
2,27,3.16,46.88994,0.576645,0.797931,0.8575955
4,11,0.002093023,30,0.79735,0.798058,0.7917965
4,33,0,30,0.79735,0.798077,0.7821887
1,30,0.3,34,0.7339,0.798165,0.7633342
1,43,0,30,0.79735,0.798938,0.76231396
1,32,0,30,0.79735,0.8,0.78668195
1,32,0.983607,40,0.65298,0.8,0.7535548
4,29,1,33.31263057,0.744228,0.800818,0.78140515
1,30,0.2,33,0.74898,0.800917,0.76431245
1,30,0.1,32,0.76456,0.802752,0.7655751
1,30,0.03,31,0.78067,0.80367,0.7748577
4,33,0.157785467,30,0.79735,0.803846,0.7931106
1,43,1.396419,35,0.71932,0.803894,0.77281773
1,43,0.130435,30,0.79735,0.806372,0.7739841
2,21,2,55,0.509756,0.806504,0.78684545
1,32,2.901639,60,0.4664,0.807273,0.7598984
1,30,0.3,33,0.74898,0.807339,0.7770666
1,36,4.5,48.01105,0.565603,0.810691,0.8619669
1,43,0.264706,30,0.79735,0.811327,0.7860241
4,33,1.696193772,35,0.71932,0.817308,0.78204244
2,21,0.600461894,35,0.71932,0.8176,0.7760321
1,36,1,32.98343,0.749236,0.818092,0.84070504
1,100,4,45,0.59607,0.820881,0.8374973
1,30,0.2,32,0.76456,0.821101,0.7783302
3,12,0.45,34.92433,0.711679,0.821168,0.8088648
1,13,1.3,52,0.529,0.821704,0.7900286
1,30,0.1,31,0.78067,0.822018,0.7830666
1,30,0.03,30,0.79735,0.822936,0.7943526
1,25,3,45.12881,0.594718,0.822939,0.9681933
2,21,1.5,35,0.71932,0.824515,0.9027034
4,33,0.274048443,30,0.79735,0.825,0.8006747
